,DATA,UF_VENDA,PRINCIPIO_ATIVO,QTD_VENDIDA
0,2022-09-01,AC,AZITROMICINA,21
1,2022-09-01,AC,AZITROMICINA DI-HIDRATADA,104
2,2022-09-01,AL,AZITROMICINA,179
3,2022-09-01,AL,AZITROMICINA DI-HIDRATADA,746
4,2022-09-01,AL,SULFATO DE HIDROXICLOROQUINA,2
5,2022-09-01,AM,AZITROMICINA,143
6,2022-09-01,AM,AZITROMICINA DI-HIDRATADA,1047
7,2022-09-01,AP,AZITROMICINA,44
8,2022-09-01,AP,AZITROMICINA DI-HIDRATADA,249
9,2022-09-01,BA,AZITROMICINA,512
10,2022-09-01,BA,AZITROMICINA DI-HIDRATADA,3110
11,2022-09-01,BA,SULFATO DE HIDROXICLOROQUINA,7
12,2022-09-01,CE,AZITROMICINA,295
13,2022-09-01,CE,AZITROMICINA DI-HIDRATADA,1284
14,2022-09-01,CE,SULFATO DE HIDROXICLOROQUINA,7
15,2022-09-01,DF,AZITROMICINA,303
16,2022-09-01,DF,AZITROMICINA DI-HIDRATADA,1569
17,2022-09-01,DF,SULFATO DE HIDROXICLOROQUINA,2
18,2022-09-01,ES,AZITROMICINA,122
19,2022-09-01,ES,AZITROMICINA DI-HIDRATADA,1370
20,2022-09-01,ES,SULFATO DE HIDROXICLOROQUINA,4
21,2022-09-01,GO,AZITROMICINA,521
22,2022-09-01,GO,AZITROMICINA DI-HIDRATADA,1851
23,2022-09-01,GO,SULFATO DE HIDROXICLOROQUINA,7
24,2022-09-01,MA,AZITROMICINA,290
25,2022-09-01,MA,AZITROMICINA DI-HIDRATADA,4113
26,2022-09-01,MG,AZITROMICINA,993
27,2022-09-01,MG,AZITROMICINA DI-HIDRATADA,8049
28,2022-09-01,MG,IVERMECTINA,7
29,2022-09-01,MG,SULFATO DE HIDROXICLOROQUINA,20
30,2022-09-01,MS,AZITROMICINA,299
31,2022-09-01,MS,AZITROMICINA DI-HIDRATADA,1007
32,2022-09-01,MS,SULFATO DE HIDROXICLOROQUINA,13
33,2022-09-01,MT,AZITROMICINA,646
34,2022-09-01,MT,AZITROMICINA DI-HIDRATADA,2139
35,2022-09-01,MT,SULFATO DE HIDROXICLOROQUINA,5
36,2022-09-01,PA,AZITROMICINA,308
37,2022-09-01,PA,AZITROMICINA DI-HIDRATADA,2590
38,2022-09-01,PA,SULFATO DE HIDROXICLOROQUINA,4
39,2022-09-01,PB,AZITROMICINA,193
40,2022-09-01,PB,AZITROMICINA DI-HIDRATADA,1718
41,2022-09-01,PB,SULFATO DE HIDROXICLOROQUINA,5
42,2022-09-01,PE,AZITROMICINA,283
43,2022-09-01,PE,AZITROMICINA DI-HIDRATADA,1812
44,2022-09-01,PE,SULFATO DE HIDROXICLOROQUINA,12
45,2022-09-01,PI,AZITROMICINA,146
46,2022-09-01,PI,AZITROMICINA DI-HIDRATADA,1070
47,2022-09-01,PR,AZITROMICINA,667
48,2022-09-01,PR,AZITROMICINA DI-HIDRATADA,2864
49,2022-09-01,PR,SULFATO DE HIDROXICLOROQUINA,6
50,2022-09-01,RJ,AZITROMICINA,2372
51,2022-09-01,RJ,AZITROMICINA DI-HIDRATADA,6937
52,2022-09-01,RJ,SULFATO DE HIDROXICLOROQUINA,68
53,2022-09-01,RN,AZITROMICINA,375
54,2022-09-01,RN,AZITROMICINA DI-HIDRATADA,1941
55,2022-09-01,RN,SULFATO DE HIDROXICLOROQUINA,8
56,2022-09-01,RO,AZITROMICINA,245
57,2022-09-01,RO,AZITROMICINA DI-HIDRATADA,1636
58,2022-09-01,RO,SULFATO DE HIDROXICLOROQUINA,1
59,2022-09-01,RR,AZITROMICINA,79
60,2022-09-01,RR,AZITROMICINA DI-HIDRATADA,612
61,2022-09-01,RS,AZITROMICINA,1172
62,2022-09-01,RS,AZITROMICINA DI-HIDRATADA,4986
63,2022-09-01,RS,IVERMECTINA,6
64,2022-09-01,RS,SULFATO DE HIDROXICLOROQUINA,15
65,2022-09-01,SC,AZITROMICINA,156
66,2022-09-01,SC,AZITROMICINA DI-HIDRATADA,1407
67,2022-09-01,SC,SULFATO DE HIDROXICLOROQUINA,7
68,2022-09-01,SE,AZITROMICINA,158
69,2022-09-01,SE,AZITROMICINA DI-HIDRATADA,500
70,2022-09-01,SP,AZITROMICINA,4485
71,2022-09-01,SP,AZITROMICINA DI-HIDRATADA,23266
72,2022-09-01,SP,SULFATO DE HIDROXICLOROQUINA,63
73,2022-09-01,TO,AZITROMICINA,233
74,2022-09-01,TO,AZITROMICINA DI-HIDRATADA,1452
